Feature 1,Feature 2,Correlation
claims_quality_code_552,claims_quality_code_522,0.55
Rating Cycle 2 Total Health Score,Total Amount of Fines in Dollars,0.55
deficiency_tag_686,severity_code_G,0.55
Total Amount of Fines in Dollars,Rating Cycle 2 Health Deficiency Score,0.55
deficiency_tag_656,severity_code_D,0.55
Rating Cycle 3 Total Number of Health Deficiencies,severity_code_E,0.54
deficiency_tag_677,Number of Substantiated Complaints,0.54
Rating Cycle 2 Number of Standard Health Deficiencies,severity_code_D,0.54
provider_medicare_and_medicaid,provider_medicaid,-0.54
Rating Cycle 1 Total Health Score,health_inspection_rating_1,0.54
deficiency_tag_600,severity_code_G,0.53
severity_code_D,Rating Cycle 3 Number of Standard Health Deficiencies,0.53
deficiency_tag_550,severity_code_D,0.53
Rating Cycle 2 Health Revisit Score,Rating Cycle 2 Number of Health Revisits,0.53
Number of Substantiated Complaints,severity_code_D,0.53
deficiency_tag_761,severity_code_D,0.53
deficiency_tag_689,deficiency_tag_684,0.52
Total Amount of Fines in Dollars,Rating Cycle 3 Total Health Score,0.52
deficiency_tag_686,deficiency_tag_684,0.52
Rating Cycle 3 Health Deficiency Score,Total Amount of Fines in Dollars,0.52
deficiency_tag_842,severity_code_D,0.52
Rating Cycle 2 Number of Standard Health Deficiencies,severity_code_E,0.52
severity_code_E,Rating Cycle 1 Total Number of Health Deficiencies,0.52
severity_code_D,deficiency_tag_692,0.52
health_inspection_rating_1,Rating Cycle 1 Total Number of Health Deficiencies,0.52
deficiency_tag_689,deficiency_tag_686,0.52
severity_code_D,Rating Cycle 1 Number of Standard Health Deficiencies,0.52
deficiency_tag_600,abuse_icon,0.51
short_stay_quality_rating_5,quality_rating_5,0.51
deficiency_tag_880,severity_code_E,0.51
deficiency_tag_600,Total Amount of Fines in Dollars,0.51
deficiency_tag_584,severity_code_D,0.51
severity_code_D,deficiency_tag_609,0.51
Number of Substantiated Complaints,Number of Payment Denials,0.51
Number of Substantiated Complaints,Total Amount of Fines in Dollars,0.50
special_focus_status_sff_candidate,Rating Cycle 1 Total Health Score,0.50
Rating Cycle 3 Total Number of Health Deficiencies,Rating Cycle 1 Total Number of Health Deficiencies,0.50
Rating Cycle 2 Health Deficiency Score,health_inspection_rating_1,0.50
deficiency_tag_677,severity_code_E,0.50
Rating Cycle 3 Number of Complaint Health Deficiencies,severity_code_D,0.50
Number of Substantiated Complaints,severity_code_E,0.50
Number of Substantiated Complaints,Rating Cycle 3 Total Health Score,0.50
deficiency_tag_657,severity_code_D,0.50
deficiency_tag_689,severity_code_E,0.50
Rating Cycle 3 Health Deficiency Score,Number of Substantiated Complaints,0.50
Total Amount of Fines in Dollars,Number of Fines,0.50
Rating Cycle 2 Total Number of Health Deficiencies,deficiency_tag_689,0.50
Rating Cycle 2 Number of Standard Health Deficiencies,Rating Cycle 1 Total Number of Health Deficiencies,0.50
deficiency_tag_580,severity_code_D,0.50
Rating Cycle 3 Total Number of Health Deficiencies,Rating Cycle 2 Number of Standard Health Deficiencies,0.49
Rating Cycle 3 Health Revisit Score,Rating Cycle 3 Number of Health Revisits,0.49
long_stay_quality_rating_5,mds_quality_code_401,-0.49
deficiency_tag_695,severity_code_D,0.49
Rating Cycle 1 Health Revisit Score,Rating Cycle 1 Number of Health Revisits,0.49
mds_quality_code_454,mds_quality_code_430,0.49
deficiency_tag_677,deficiency_tag_689,0.49
Rating Cycle 2 Total Number of Health Deficiencies,Rating Cycle 3 Number of Standard Health Deficiencies,0.49
Number of Substantiated Complaints,severity_code_G,0.49
Rating Cycle 2 Total Number of Health Deficiencies,Rating Cycle 1 Number of Standard Health Deficiencies,0.49
Rating Cycle 1 Number of Complaint Health Deficiencies,Rating Cycle 1 Number of Standard Health Deficiencies,0.49
deficiency_tag_690,severity_code_D,0.49
deficiency_tag_755,severity_code_D,0.49
deficiency_tag_600,deficiency_tag_689,0.49
Rating Cycle 2 Total Health Score,health_inspection_rating_1,0.49
Number of Substantiated Complaints,deficiency_tag_689,0.49
deficiency_tag_610,severity_code_D,0.48
Rating Cycle 3 Number of Complaint Health Deficiencies,Number of Payment Denials,0.48
Rating Cycle 2 Total Number of Health Deficiencies,health_inspection_rating_1,0.48
deficiency_tag_677,deficiency_tag_686,0.48
Rating Cycle 2 Number of Complaint Health Deficiencies,severity_code_D,0.48
Total Amount of Fines in Dollars,Rating Cycle 2 Number of Complaint Health Deficiencies,0.48
Number of Substantiated Complaints,deficiency_tag_684,0.48
severity_code_E,Rating Cycle 3 Number of Standard Health Deficiencies,0.48
Rating Cycle 2 Number of Standard Health Deficiencies,Rating Cycle 1 Number of Standard Health Deficiencies,0.48
special_focus_status_sff_candidate,Rating Cycle 1 Health Deficiency Score,0.48
Rating Cycle 3 Total Number of Health Deficiencies,deficiency_tag_684,0.48
Rating Cycle 3 Number of Complaint Health Deficiencies,Total Amount of Fines in Dollars,0.48
Number of Substantiated Complaints,Rating Cycle 2 Health Deficiency Score,0.47
Rating Cycle 2 Total Health Score,Number of Substantiated Complaints,0.47
severity_code_D,Rating Cycle 1 Number of Complaint Health Deficiencies,0.47
severity_code_E,Rating Cycle 1 Number of Standard Health Deficiencies,0.47
Rating Cycle 3 Total Number of Health Deficiencies,deficiency_tag_689,0.47
Rating Cycle 2 Number of Standard Health Deficiencies,Rating Cycle 3 Number of Standard Health Deficiencies,0.47
Rating Cycle 2 Total Number of Health Deficiencies,Rating Cycle 3 Number of Complaint Health Deficiencies,0.47
deficiency_tag_689,Rating Cycle 2 Number of Complaint Health Deficiencies,0.47
Rating Cycle 1 Health Revisit Score,Rating Cycle 1 Health Deficiency Score,0.47
deficiency_tag_812,severity_code_E,0.47
deficiency_tag_677,deficiency_tag_684,0.47
Rating Cycle 3 Total Number of Health Deficiencies,Rating Cycle 2 Number of Complaint Health Deficiencies,0.47
Rating Cycle 2 Total Health Score,severity_code_E,0.47
Rating Cycle 2 Health Deficiency Score,severity_code_E,0.47
Rating Cycle 3 Number of Complaint Health Deficiencies,deficiency_tag_689,0.47
Total Amount of Fines in Dollars,Rating Cycle 1 Health Deficiency Score,0.47
deficiency_tag_600,deficiency_tag_609,0.47
Number of Substantiated Complaints,deficiency_tag_686,0.47
severity_code_D,deficiency_tag_812,0.47
Rating Cycle 3 Number of Complaint Health Deficiencies,Rating Cycle 2 Number of Complaint Health Deficiencies,0.46
deficiency_tag_550,severity_code_E,0.46
severity_code_F,deficiency_tag_812,0.46
deficiency_tag_880,deficiency_tag_689,0.46
Total Amount of Fines in Dollars,Rating Cycle 1 Total Health Score,0.46
deficiency_tag_689,Number of Payment Denials,0.46
severity_code_D,deficiency_tag_758,0.46
deficiency_tag_760,severity_code_D,0.46
Rating Cycle 2 Total Number of Health Deficiencies,Rating Cycle 1 Number of Complaint Health Deficiencies,0.46
Number of Substantiated Complaints,Rating Cycle 1 Health Deficiency Score,0.46
severity_code_G,deficiency_tag_684,0.46
severity_code_F,Rating Cycle 3 Total Health Score,0.46
Rating Cycle 2 Number of Complaint Health Deficiencies,Number of Payment Denials,0.46
Rating Cycle 2 Number of Complaint Health Deficiencies,Rating Cycle 1 Number of Complaint Health Deficiencies,0.46
Rating Cycle 2 Number of Complaint Health Deficiencies,severity_code_G,0.46
Rating Cycle 2 Number of Complaint Health Deficiencies,severity_code_E,0.46
Total Amount of Fines in Dollars,deficiency_tag_689,0.46
Total Number of Penalties,Number of Payment Denials,0.45
deficiency_tag_677,Rating Cycle 3 Number of Complaint Health Deficiencies,0.45
Number of Substantiated Complaints,deficiency_tag_584,0.45
Rating Cycle 3 Number of Standard Health Deficiencies,Rating Cycle 3 Number of Health Revisits,0.45
severity_code_D,severity_code_G,0.45
deficiency_tag_697,severity_code_D,0.45
Rating Cycle 3 Total Number of Health Deficiencies,deficiency_tag_677,0.45
long_stay_quality_rating_5,mds_quality_code_451,-0.45
Rating Cycle 2 Total Number of Health Deficiencies,Total Amount of Fines in Dollars,0.45
severity_code_E,Rating Cycle 3 Total Health Score,0.45
Rating Cycle 1 Number of Complaint Health Deficiencies,health_inspection_rating_1,0.45
Rating Cycle 2 Number of Complaint Health Deficiencies,Rating Cycle 1 Total Number of Health Deficiencies,0.45
Rating Cycle 2 Total Number of Health Deficiencies,deficiency_tag_684,0.45
ownership_for_profit_corporation,ownership_for_profit_llc,-0.45
Total Amount of Fines in Dollars,severity_code_J,0.45
health_inspection_rating_1,Rating Cycle 1 Number of Standard Health Deficiencies,0.44
severity_code_F,deficiency_tag_689,0.44
Rating Cycle 2 Number of Standard Health Deficiencies,Rating Cycle 2 Number of Complaint Health Deficiencies,0.44
Rating Cycle 3 Number of Complaint Health Deficiencies,severity_code_G,0.44
deficiency_tag_761,severity_code_E,0.44
severity_code_F,severity_code_D,0.44
Rating Cycle 3 Health Deficiency Score,severity_code_F,0.44
deficiency_tag_677,severity_code_G,0.44
Rating Cycle 1 Health Deficiency Score,severity_code_E,0.44
Rating Cycle 3 Number of Complaint Health Deficiencies,deficiency_tag_684,0.44
Rating Cycle 2 Total Health Score,severity_code_J,0.44
severity_code_J,Rating Cycle 2 Health Deficiency Score,0.44
Total Amount of Fines in Dollars,health_inspection_rating_1,0.44
Rating Cycle 2 Total Health Score,Number of Payment Denials,0.44
severity_code_D,deficiency_tag_558,0.44
Rating Cycle 2 Total Number of Health Deficiencies,deficiency_tag_677,0.44
deficiency_tag_600,deficiency_tag_610,0.44
Number of Substantiated Complaints,Rating Cycle 1 Total Health Score,0.44
deficiency_tag_656,severity_code_E,0.43
deficiency_tag_600,severity_code_D,0.43
deficiency_tag_689,deficiency_tag_609,0.43
Number of Substantiated Complaints,deficiency_tag_725,0.43
severity_code_E,deficiency_tag_684,0.43
Rating Cycle 3 Health Deficiency Score,severity_code_E,0.43
deficiency_tag_677,Rating Cycle 2 Number of Complaint Health Deficiencies,0.43
severity_code_K,Rating Cycle 2 Health Deficiency Score,0.43
Rating Cycle 2 Health Deficiency Score,Number of Payment Denials,0.43
deficiency_tag_600,Number of Payment Denials,0.43
Rating Cycle 1 Health Deficiency Score,abuse_icon,0.43
Rating Cycle 2 Total Number of Health Deficiencies,Rating Cycle 1 Health Deficiency Score,0.43
severity_code_F,severity_code_G,0.43
deficiency_tag_804,severity_code_E,0.43
Rating Cycle 2 Health Revisit Score,Rating Cycle 2 Health Deficiency Score,0.43
Number of Payment Denials,Rating Cycle 3 Total Health Score,0.42
Rating Cycle 2 Total Number of Health Deficiencies,Number of Payment Denials,0.42
deficiency_tag_550,deficiency_tag_689,0.42
Rating Cycle 2 Total Number of Health Deficiencies,deficiency_tag_584,0.42
Rating Cycle 1 Total Health Score,severity_code_E,0.42
Rating Cycle 3 Total Number of Health Deficiencies,Total Amount of Fines in Dollars,0.42
deficiency_tag_658,severity_code_E,0.42
severity_code_D,deficiency_tag_698,0.42
Rating Cycle 3 Health Deficiency Score,severity_code_D,0.42
Rating Cycle 3 Total Number of Health Deficiencies,deficiency_tag_686,0.42
severity_code_D,Rating Cycle 3 Total Health Score,0.42
Rating Cycle 3 Number of Standard Health Deficiencies,Rating Cycle 1 Total Number of Health Deficiencies,0.42
deficiency_tag_677,deficiency_tag_725,0.42
deficiency_tag_600,Rating Cycle 2 Number of Complaint Health Deficiencies,0.42
Rating Cycle 2 Total Number of Health Deficiencies,severity_code_G,0.42
Rating Cycle 3 Total Number of Health Deficiencies,deficiency_tag_584,0.42
Rating Cycle 2 Total Number of Health Deficiencies,deficiency_tag_686,0.42
deficiency_tag_755,severity_code_E,0.42
severity_code_D,deficiency_tag_759,0.42
Number of Substantiated Complaints,health_inspection_rating_1,0.42
Rating Cycle 3 Total Number of Health Deficiencies,severity_code_F,0.42
Rating Cycle 3 Number of Complaint Health Deficiencies,severity_code_E,0.42
Rating Cycle 2 Total Number of Health Deficiencies,Rating Cycle 3 Total Health Score,0.42
Rating Cycle 3 Number of Complaint Health Deficiencies,deficiency_tag_600,0.42
severity_code_F,Number of Payment Denials,0.42
deficiency_tag_880,deficiency_tag_684,0.42
Rating Cycle 2 Number of Standard Health Deficiencies,Rating Cycle 2 Number of Health Revisits,0.42
severity_code_E,deficiency_tag_725,0.42
deficiency_tag_600,Rating Cycle 2 Health Deficiency Score,0.42
Rating Cycle 3 Health Deficiency Score,Rating Cycle 2 Total Number of Health Deficiencies,0.41
Rating Cycle 3 Total Number of Health Deficiencies,Rating Cycle 1 Number of Complaint Health Deficiencies,0.41
Rating Cycle 3 Total Number of Health Deficiencies,severity_code_G,0.41
Rating Cycle 3 Health Deficiency Score,Number of Payment Denials,0.41
deficiency_tag_692,deficiency_tag_684,0.41
Rating Cycle 3 Total Number of Health Deficiencies,Number of Payment Denials,0.41
Rating Cycle 2 Total Health Score,deficiency_tag_600,0.41
Rating Cycle 3 Total Number of Health Deficiencies,Rating Cycle 1 Number of Standard Health Deficiencies,0.41
deficiency_tag_689,Rating Cycle 2 Health Deficiency Score,0.41
Rating Cycle 3 Number of Complaint Health Deficiencies,deficiency_tag_686,0.41
deficiency_tag_732,severity_code_C,0.41
Rating Cycle 1 Number of Health Revisits,Rating Cycle 1 Total Health Score,0.41
Number of Substantiated Complaints,deficiency_tag_600,0.41
deficiency_tag_689,Rating Cycle 1 Total Number of Health Deficiencies,0.41
Rating Cycle 2 Total Health Score,Rating Cycle 2 Number of Health Revisits,0.41
severity_code_D,deficiency_tag_578,0.41
deficiency_tag_584,deficiency_tag_689,0.41
deficiency_tag_880,deficiency_tag_761,0.41
dollars_per_fine_count,health_inspection_rating_1,0.41
severity_code_E,Rating Cycle 1 Number of Complaint Health Deficiencies,0.41
Rating Cycle 1 Total Number of Health Deficiencies,deficiency_tag_684,0.41
Rating Cycle 2 Number of Standard Health Deficiencies,health_inspection_rating_1,0.41
Rating Cycle 1 Health Deficiency Score,severity_code_D,0.41
deficiency_tag_880,deficiency_tag_812,0.41
Rating Cycle 2 Total Health Score,severity_code_K,0.41
Rating Cycle 2 Number of Complaint Health Deficiencies,health_inspection_rating_1,0.41
severity_code_F,Rating Cycle 3 Number of Complaint Health Deficiencies,0.41
Rating Cycle 2 Number of Complaint Health Deficiencies,deficiency_tag_684,0.41
quality_rating_2,long_stay_quality_rating_2,0.41
deficiency_tag_689,deficiency_tag_558,0.41
deficiency_tag_677,deficiency_tag_584,0.41
deficiency_tag_689,Rating Cycle 3 Total Health Score,0.41
Rating Cycle 1 Total Health Score,abuse_icon,0.41
Rating Cycle 2 Health Deficiency Score,severity_code_G,0.41
Rating Cycle 2 Total Health Score,severity_code_G,0.40
deficiency_tag_689,Rating Cycle 1 Number of Complaint Health Deficiencies,0.40
Rating Cycle 3 Health Deficiency Score,deficiency_tag_689,0.40
severity_code_F,Total Amount of Fines in Dollars,0.40
Rating Cycle 2 Total Number of Health Deficiencies,Rating Cycle 1 Total Health Score,0.40
Rating Cycle 2 Number of Complaint Health Deficiencies,deficiency_tag_686,0.40
deficiency_tag_610,severity_code_G,0.40
deficiency_tag_690,deficiency_tag_689,0.40
deficiency_tag_690,deficiency_tag_686,0.40
severity_code_G,Rating Cycle 3 Total Health Score,0.40
Rating Cycle 3 Total Number of Health Deficiencies,Rating Cycle 3 Number of Health Revisits,0.40
Rating Cycle 3 Total Number of Health Deficiencies,Rating Cycle 2 Health Deficiency Score,0.40
severity_code_F,deficiency_tag_727,0.40
Rating Cycle 2 Total Health Score,Rating Cycle 3 Total Number of Health Deficiencies,0.40
dollars_per_fine_count,Rating Cycle 1 Total Health Score,0.40
deficiency_tag_686,severity_code_E,0.40
Rating Cycle 2 Total Health Score,deficiency_tag_689,0.40
severity_code_D,deficiency_tag_688,0.40
severity_code_F,deficiency_tag_600,0.40
deficiency_tag_580,deficiency_tag_684,0.40
Rating Cycle 2 Total Number of Health Deficiencies,deficiency_tag_550,0.40
deficiency_tag_690,deficiency_tag_684,0.40
Rating Cycle 2 Total Number of Health Deficiencies,deficiency_tag_600,0.40
deficiency_tag_677,deficiency_tag_550,0.40
deficiency_tag_609,severity_code_E,0.40
deficiency_tag_880,deficiency_tag_686,0.40
Rating Cycle 2 Total Health Score,severity_code_F,0.39
deficiency_tag_677,deficiency_tag_690,0.39
dollars_per_fine_count,Rating Cycle 2 Health Deficiency Score,0.39
severity_code_F,severity_code_E,0.39
Rating Cycle 3 Number of Standard Health Deficiencies,Rating Cycle 1 Number of Standard Health Deficiencies,0.39
Rating Cycle 2 Number of Standard Health Deficiencies,Number of Substantiated Complaints,0.39
severity_code_F,Rating Cycle 2 Total Number of Health Deficiencies,0.39
Rating Cycle 1 Health Deficiency Score,dollars_per_fine_count,0.39
deficiency_tag_610,deficiency_tag_689,0.39
deficiency_tag_600,severity_code_E,0.39
deficiency_tag_550,Number of Substantiated Complaints,0.39
Rating Cycle 3 Number of Complaint Health Deficiencies,Rating Cycle 1 Number of Complaint Health Deficiencies,0.39
Rating Cycle 2 Total Health Score,dollars_per_fine_count,0.39
deficiency_tag_686,deficiency_tag_692,0.39
deficiency_tag_677,deficiency_tag_880,0.39
severity_code_D,Rating Cycle 1 Total Health Score,0.39
severity_code_D,Rating Cycle 2 Health Deficiency Score,0.39
Rating Cycle 3 Health Deficiency Score,severity_code_G,0.39
Rating Cycle 3 Total Number of Health Deficiencies,deficiency_tag_550,0.39
Rating Cycle 3 Number of Complaint Health Deficiencies,deficiency_tag_584,0.39
Rating Cycle 1 Number of Health Revisits,Rating Cycle 1 Number of Standard Health Deficiencies,0.39
severity_code_D,deficiency_tag_623,0.39
severity_code_F,Rating Cycle 2 Health Deficiency Score,0.39
Rating Cycle 2 Total Number of Health Deficiencies,Rating Cycle 2 Number of Health Revisits,0.39
severity_code_E,health_inspection_rating_1,0.39
deficiency_tag_584,Rating Cycle 1 Total Number of Health Deficiencies,0.39
severity_code_F,deficiency_tag_880,0.39
severity_code_J,health_inspection_rating_1,0.39
Rating Cycle 3 Number of Health Revisits,Rating Cycle 3 Total Health Score,0.39
Rating Cycle 3 Number of Complaint Health Deficiencies,Rating Cycle 1 Total Number of Health Deficiencies,0.39
severity_code_G,severity_code_E,0.39
Rating Cycle 3 Total Number of Health Deficiencies,Rating Cycle 3 Health Revisit Score,0.39
severity_code_F,Rating Cycle 1 Health Deficiency Score,0.38
deficiency_tag_842,severity_code_E,0.38
Rating Cycle 2 Total Number of Health Deficiencies,deficiency_tag_609,0.38
severity_code_D,health_inspection_rating_1,0.38
Rating Cycle 3 Number of Complaint Health Deficiencies,Rating Cycle 3 Number of Standard Health Deficiencies,0.38
severity_code_K,Total Amount of Fines in Dollars,0.38
severity_code_F,Rating Cycle 1 Total Health Score,0.38
deficiency_tag_677,Rating Cycle 1 Total Number of Health Deficiencies,0.38
Rating Cycle 3 Health Deficiency Score,Rating Cycle 3 Health Revisit Score,0.38
quality_rating_1,short_stay_quality_rating_1,0.38
short_stay_quality_rating_5,claims_quality_code_521,-0.38
deficiency_tag_689,deficiency_tag_692,0.38
deficiency_tag_804,severity_code_D,0.38
deficiency_tag_686,Number of Payment Denials,0.38
Rating Cycle 3 Total Number of Health Deficiencies,deficiency_tag_600,0.38
Rating Cycle 3 Total Number of Health Deficiencies,deficiency_tag_692,0.38
deficiency_tag_677,deficiency_tag_692,0.38
Rating Cycle 3 Health Deficiency Score,dollars_per_fine_count,0.38
deficiency_tag_880,deficiency_tag_550,0.38
Number of Substantiated Complaints,Number of Citations from Infection Control Inspections,0.38
Rating Cycle 2 Total Health Score,severity_code_D,0.38
Number of Substantiated Complaints,Rating Cycle 3 Number of Standard Health Deficiencies,0.38
deficiency_tag_610,Total Amount of Fines in Dollars,0.38
deficiency_tag_657,severity_code_E,0.38
deficiency_tag_550,deficiency_tag_584,0.38
severity_code_G,deficiency_tag_609,0.38
Number of Substantiated Complaints,deficiency_tag_760,0.38
severity_code_D,deficiency_tag_725,0.38
deficiency_tag_677,Rating Cycle 1 Number of Complaint Health Deficiencies,0.37
deficiency_tag_880,Rating Cycle 1 Total Number of Health Deficiencies,0.37
deficiency_tag_584,Rating Cycle 2 Number of Complaint Health Deficiencies,0.37
Rating Cycle 2 Total Number of Health Deficiencies,deficiency_tag_610,0.37
Rating Cycle 2 Health Deficiency Score,Rating Cycle 1 Total Number of Health Deficiencies,0.37
Total Amount of Fines in Dollars,deficiency_tag_686,0.37
severity_code_J,dollars_per_fine_count,0.37
severity_code_F,deficiency_tag_584,0.37
Rating Cycle 1 Number of Complaint Health Deficiencies,deficiency_tag_684,0.37
Rating Cycle 2 Total Number of Health Deficiencies,deficiency_tag_880,0.37
Total Amount of Fines in Dollars,severity_code_E,0.37
deficiency_tag_760,deficiency_tag_684,0.37
Rating Cycle 3 Total Number of Health Deficiencies,deficiency_tag_880,0.37
severity_code_G,Rating Cycle 1 Number of Complaint Health Deficiencies,0.37
Rating Cycle 3 Total Number of Health Deficiencies,deficiency_tag_610,0.37
Rating Cycle 2 Number of Complaint Health Deficiencies,deficiency_tag_609,0.37
deficiency_tag_607,severity_code_E,0.37
deficiency_tag_686,Rating Cycle 1 Total Number of Health Deficiencies,0.37
mds_quality_code_401,long_stay_quality_rating_1,0.37
Rating Cycle 3 Total Number of Health Deficiencies,deficiency_tag_580,0.37
Total Number of Penalties,severity_code_G,0.37
Rating Cycle 1 Health Deficiency Score,Rating Cycle 2 Number of Complaint Health Deficiencies,0.37
Rating Cycle 2 Total Number of Health Deficiencies,deficiency_tag_755,0.37
Rating Cycle 3 Total Number of Health Deficiencies,health_inspection_rating_1,0.37
Rating Cycle 1 Health Revisit Score,special_focus_status_sff_candidate,0.37
severity_code_K,Rating Cycle 1 Health Deficiency Score,0.37
Total Amount of Fines in Dollars,deficiency_tag_609,0.37
Rating Cycle 1 Number of Health Revisits,Rating Cycle 1 Total Number of Health Deficiencies,0.37
Rating Cycle 3 Health Deficiency Score,deficiency_tag_677,0.37
severity_code_F,Number of Substantiated Complaints,0.37
deficiency_tag_610,severity_code_E,0.37
Rating Cycle 3 Number of Standard Health Deficiencies,deficiency_tag_684,0.37
deficiency_tag_677,Rating Cycle 3 Total Health Score,0.37
Rating Cycle 1 Health Deficiency Score,deficiency_tag_689,0.37
severity_code_D,deficiency_tag_658,0.37
deficiency_tag_600,Rating Cycle 3 Total Health Score,0.37
severity_code_D,deficiency_tag_693,0.36
Rating Cycle 2 Number of Complaint Health Deficiencies,Rating Cycle 3 Total Health Score,0.36
deficiency_tag_755,deficiency_tag_880,0.36
Rating Cycle 3 Health Revisit Score,Rating Cycle 3 Number of Standard Health Deficiencies,0.36
Total Amount of Fines in Dollars,severity_code_D,0.36
deficiency_tag_550,deficiency_tag_684,0.36
severity_code_K,dollars_per_fine_count,0.36
