,Rating Cycle 2 Total Health Score,Rating Cycle 2 Health Revisit Score,mds_quality_code_454,Registered Nurse turnover,severity_code_K,deficiency_tag_757,provider_resides_in_hospital,deficiency_tag_804,Rating Cycle 3 Total Number of Health Deficiencies,ownership_government_state,staffing_rating_5,deficiency_tag_695,Rating Cycle 3 Health Deficiency Score,long_stay_quality_rating_5,staffing_rating_1,quality_rating_1,severity_code_I,severity_code_F,council_resident_and_family,mds_quality_code_419,claims_quality_code_551,avg_daily_residents_per_bed_ratio,Rating Cycle 2 Total Number of Health Deficiencies,ownership_non_profit_church,provider_medicare,months_since_approval,provider_medicare_and_medicaid,Rating Cycle 2 Number of Standard Health Deficiencies,severity_code_B,deficiency_tag_677,short_stay_quality_rating_5,deficiency_tag_585,ownership_for_profit_corporation,deficiency_tag_726,ownership_for_profit_partnership,deficiency_tag_803,quality_rating_4,deficiency_tag_755,deficiency_tag_921,deficiency_tag_880,deficiency_tag_625,deficiency_tag_550,mds_quality_code_404,Number of Substantiated Complaints,continuing_care_retirement_community,mds_quality_code_434,deficiency_tag_883,severity_code_H,Rating Cycle 1 Health Revisit Score,Rating Cycle 3 Number of Complaint Health Deficiencies,most_recent_health_inspection_2plus_years_ago,severity_code_L,deficiency_tag_908,health_inspection_rating_2,quality_rating_2,council_resident,deficiency_tag_656,five_star_rating_4,deficiency_tag_583,deficiency_tag_690,five_star_rating_2,deficiency_tag_600,health_inspection_rating_3,quality_rating_5,short_stay_quality_rating_1,deficiency_tag_641,deficiency_tag_727,deficiency_tag_732,deficiency_tag_760,deficiency_tag_697,deficiency_tag_582,claims_quality_code_552,Rating Cycle 1 Number of Health Revisits,deficiency_tag_610,ownership_government_county,mds_quality_code_406,mds_quality_code_479,Rating Cycle 2 Number of Health Revisits,Number of Facility Reported Incidents,Number of Certified Beds,special_focus_status_sff_candidate,long_stay_quality_rating_4,Rating Cycle 3 Health Revisit Score,deficiency_tag_925,mds_quality_code_410,Total Amount of Fines in Dollars,Rating Cycle 1 Health Deficiency Score,staffing_rating_3,ownership_government_city_county,deficiency_tag_761,deficiency_tag_655,Average Number of Residents per Day,Total Number of Penalties,short_stay_quality_rating_3,severity_code_J,deficiency_tag_561,deficiency_tag_657,mds_quality_code_407,Number of Fines,mds_quality_code_452,deficiency_tag_584,mds_quality_code_480,mds_quality_code_430,deficiency_tag_756,deficiency_tag_919,health_inspection_rating_4,quality_rating_3,deficiency_tag_645,deficiency_tag_689,deficiency_tag_842,mds_quality_code_401,dollars_per_fine_count,five_star_rating_5,ownership_government_city,Rating Cycle 2 Number of Complaint Health Deficiencies,Number of Citations from Infection Control Inspections,deficiency_tag_580,severity_code_D,mds_quality_code_415,severity_code_C,long_stay_quality_rating_2,long_stay_quality_rating_1,special_focus_status_sff,provider_changed_ownership_last_12_months,Rating Cycle 1 Total Health Score,claims_quality_code_521,deficiency_tag_558,deficiency_tag_658,short_stay_quality_rating_4,health_inspection_rating_5,Rating Cycle 2 Health Deficiency Score,deficiency_tag_686,ownership_for_profit_llc,abuse_icon,ownership_non_profit_corporation,Number of Payment Denials,sprinklers_in_required_areas_partial,deficiency_tag_693,deficiency_tag_812,deficiency_tag_644,deficiency_tag_607,long_stay_quality_rating_3,severity_code_G,deficiency_tag_609,provider_medicaid,ownership_government_hospital_district,severity_code_E,deficiency_tag_636,five_star_rating_1,council_family,short_stay_quality_rating_2,ownership_non_profit_other,deficiency_tag_758,deficiency_tag_759,Rating Cycle 3 Number of Standard Health Deficiencies,Rating Cycle 1 Number of Complaint Health Deficiencies,deficiency_tag_676,health_inspection_rating_1,Total nursing staff turnover,ownership_for_profit_individual,deficiency_tag_867,deficiency_tag_814,deficiency_tag_679,staffing_rating_4,deficiency_tag_725,deficiency_tag_692,deficiency_tag_623,deficiency_tag_700,Rating Cycle 1 Number of Standard Health Deficiencies,deficiency_tag_698,mds_quality_code_409,Rating Cycle 3 Number of Health Revisits,mds_quality_code_472,deficiency_tag_881,mds_quality_code_408,claims_quality_code_522,sprinklers_in_required_areas,five_star_rating_3,ownership_government_federal,deficiency_tag_806,deficiency_tag_578,Rating Cycle 1 Total Number of Health Deficiencies,Number of administrators who have left the nursing home,deficiency_tag_688,mds_quality_code_451,Rating Cycle 3 Total Health Score,deficiency_tag_554,staffing_rating_2,deficiency_tag_604,deficiency_tag_684,prediction,Lower_Staffing
10775,48.0,0.0,98.013245,57.1,0.0,0.0,0,1.0,1.0,0,0,0.0,8.0,0,0,0,0.0,5.0,0,32.575758,1.742562,0.8902439024390244,5.0,0,0,332,1,5.0,0.0,1.0,0,0.0,0,0.0,0,0.0,0,1.0,0.0,2.0,0.0,0.0,10.833333,0,0,9.302326,0.0,0.0,0.0,0.0,0,0.0,0.0,1,1,0,0.0,0,0.0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.930567,0.0,0.0,0,5.05805,3.375461,1.0,0,41,0,0,0.0,0.0,6.060606,0.0,116.0,1,0,1.0,0.0,36.5,0,1,0.0,0.0,1.0,7.751938,0,10.569106,0.0,39.9122,89.156627,0.0,1.0,0,0,0.0,0.0,0.0,19.54023,0.0,0,0,0.0,,0.0,7.0,100.0,0.0,0,1,0,0,116.0,12.849378,0.0,2.0,0,0,48.0,1.0,0,0,1,0,0,0.0,2.0,0.0,0.0,0,1.0,0.0,0,0,5.0,0.0,0,0,0,0,1.0,0.0,1.0,0.0,0.0,0,66.7,0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.0,12.0,0.0,0.0,1.0,91.176471,0.0,1.980198,5.533919,1,0,0,0.0,0.0,12.0,1.0,0.0,45.089556,8.0,0.0,0,0.0,1.0,1,0
11465,252.0,0.0,97.429907,72.7,0.0,1.0,0,0.0,23.0,0,0,2.0,144.0,0,1,0,0.0,1.0,0,9.638554,2.790298,0.9566666666666667,45.0,0,0,487,1,22.0,0.0,1.0,0,1.0,1,0.0,0,0.0,0,5.0,0.0,3.0,2.0,0.0,9.915014,16,0,2.259887,2.0,0.0,0.0,1.0,0,0.0,0.0,0,1,1,5.0,0,0.0,2.0,0,1.0,0,0,1,2.0,0.0,1.0,2.0,0.0,0.0,1.630644,1.0,3.0,0,1.971958,3.181487,1.0,0,120,0,0,0.0,0.0,3.694581,24921.0,104.0,0,0,2.0,0.0,114.8,1,0,0.0,0.0,4.0,0.253165,1,17.534247,2.0,22.494904,66.564417,0.0,0.0,0,0,0.0,2.0,3.0,24.513619,24921.0,0,0,23.0,10.0,5.0,56.0,87.192118,2.0,1,0,0,0,104.0,24.130343,0.0,4.0,0,0,252.0,1.0,0,0,0,0,0,0.0,3.0,0.0,3.0,0,1.0,3.0,0,0,30.0,0.0,1,0,0,0,1.0,0.0,22.0,3.0,1.0,1,60.8,0,1.0,0.0,0.0,0,0.0,1.0,3.0,2.0,19.0,1.0,0.0,1.0,68.0,0.0,30.635838,13.384698,1,0,0,0.0,1.0,22.0,,1.0,44.692247,144.0,0.0,0,0.0,4.0,1,0
13562,140.0,0.0,95.666667,20.0,1.0,0.0,0,0.0,6.0,0,0,1.0,52.0,1,0,0,0.0,0.0,0,10.714286,,0.6561538461538461,10.0,0,0,131,1,8.0,0.0,0.0,1,0.0,1,0.0,0,0.0,0,2.0,0.0,2.0,0.0,0.0,11.023622,4,0,0.952381,0.0,0.0,0.0,2.0,0,0.0,0.0,1,0,1,1.0,0,0.0,1.0,0,0.0,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0,0.0,5.630683,1.0,5,130,0,0,0.0,1.0,2.173913,56992.0,103.0,0,0,1.0,1.0,85.3,3,0,1.0,0.0,1.0,0.0,3,20.155039,1.0,5.654561,52.759382,0.0,1.0,0,0,0.0,1.0,0.0,3.174603,18997.333333333332,0,0,2.0,2.0,0.0,13.0,83.695652,0.0,0,0,0,0,103.0,23.408995,0.0,0.0,0,0,140.0,1.0,0,0,0,0,0,0.0,0.0,1.0,0.0,0,1.0,1.0,0,0,6.0,0.0,0,0,0,0,0.0,1.0,4.0,2.0,0.0,0,60.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,47.652582,0.0,0.0,9.943518,1,1,0,0.0,0.0,6.0,0.0,0.0,2.5,52.0,0.0,1,0.0,0.0,1,0
13453,24.0,0.0,99.719888,57.1,0.0,0.0,0,0.0,5.0,0,0,0.0,24.0,0,1,0,0.0,2.0,1,5.732484,3.34589,0.7745762711864407,4.0,0,0,186,1,4.0,0.0,2.0,1,0.0,0,0.0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,2.298851,0,0,0.0,0.0,0.0,0.0,5.0,0,0.0,0.0,0,0,0,1.0,0,0.0,0.0,1,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.321647,1.0,0.0,0,0.740478,2.53084,1.0,4,118,0,0,0.0,0.0,4.601227,13849.25,60.0,0,0,1.0,0.0,91.4,1,0,1.0,0.0,0.0,0.619195,1,18.939394,0.0,22.442025,98.606272,0.0,0.0,0,0,0.0,2.0,2.0,25.490196,13849.25,0,0,0.0,0.0,0.0,6.0,100.0,0.0,0,0,0,0,60.0,33.833746,0.0,0.0,0,0,24.0,0.0,0,0,0,0,0,0.0,0.0,1.0,0.0,1,0.0,0.0,0,0,4.0,0.0,0,0,0,0,0.0,1.0,3.0,2.0,0.0,0,60.9,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,97.241379,0.0,7.236842,7.269902,1,0,0,0.0,0.0,4.0,0.0,0.0,23.801458,24.0,0.0,0,0.0,0.0,1,0
12951,76.0,0.0,100.0,40.0,0.0,0.0,0,0.0,7.0,0,0,1.0,52.0,0,0,0,0.0,0.0,0,0.823045,1.034386,0.65,14.0,0,0,366,1,12.0,0.0,3.0,0,0.0,1,1.0,0,0.0,0,2.0,0.0,3.0,0.0,1.0,4.694836,10,0,0.0,0.0,0.0,0.0,7.0,0,0.0,0.0,1,1,1,2.0,0,0.0,0.0,1,0.0,0,0,1,0.0,0.0,0.0,2.0,0.0,1.0,2.029522,1.0,0.0,0,2.974895,4.529185,1.0,15,116,0,1,0.0,0.0,5.839416,186216.61,151.0,1,0,1.0,1.0,75.4,2,0,1.0,0.0,0.0,0.740741,2,34.259259,0.0,12.771022,70.070423,0.0,0.0,0,0,1.0,3.0,0.0,19.10828,93108.305,0,0,14.0,,0.0,20.0,96.715328,0.0,0,0,0,0,151.0,31.8897,1.0,0.0,0,0,76.0,1.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1.0,1.0,0,0,13.0,0.0,0,0,0,0,2.0,1.0,6.0,1.0,0.0,0,45.2,0,0.0,0.0,1.0,0,0.0,2.0,0.0,0.0,13.0,0.0,0.0,1.0,77.16263,0.0,2.307692,20.642891,1,0,0,0.0,0.0,14.0,0.0,0.0,16.354777,52.0,0.0,0,0.0,1.0,1,0
8198,0.0,0.0,96.699029,60.0,0.0,0.0,0,0.0,25.0,0,0,0.0,239.0,1,1,0,0.0,0.0,0,11.111111,1.46579,0.8260000000000001,0.0,0,0,598,1,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,2.0,0.0,1.0,0.0,2.0,10.321101,75,0,4.950495,0.0,0.0,0.0,18.0,0,0.0,0.0,0,0,1,1.0,0,0.0,1.0,0,1.0,0,0,1,1.0,0.0,2.0,0.0,1.0,0.0,1.794471,1.0,0.0,0,0.0,5.267894,0.0,2,150,0,0,167.0,1.0,4.042553,168547.83,193.0,0,0,1.0,0.0,123.9,7,0,4.0,0.0,1.0,0.218818,4,12.47216,0.0,8.679297,79.25,0.0,0.0,0,1,0.0,2.0,2.0,7.861635,42136.9575,0,0,0.0,0.0,1.0,20.0,98.297872,3.0,0,0,0,0,193.0,22.640591,0.0,1.0,0,0,0.0,2.0,1,0,0,3,0,1.0,1.0,0.0,0.0,0,3.0,1.0,0,0,9.0,0.0,1,0,0,0,0.0,2.0,14.0,12.0,0.0,1,63.5,0,1.0,1.0,0.0,0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,3.0,65.270936,0.0,0.694444,14.058231,1,0,0,0.0,0.0,14.0,0.0,0.0,13.021032,406.0,0.0,0,0.0,3.0,1,0
4475,8.0,0.0,96.559633,41.7,0.0,0.0,0,0.0,4.0,0,0,0.0,16.0,0,0,0,0.0,1.0,0,16.085791,2.444571,0.9078125,2.0,0,0,448,1,2.0,0.0,0.0,0,0.0,1,0.0,0,0.0,0,0.0,1.0,3.0,0.0,0.0,2.356902,0,0,0.588235,0.0,0.0,0.0,0.0,1,0.0,0.0,1,1,1,1.0,0,0.0,2.0,1,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.14535,1.0,0.0,0,0.494802,3.218183,1.0,1,128,0,0,0.0,0.0,3.617571,9769.5,72.0,0,0,1.0,0.0,116.2,2,0,0.0,0.0,0.0,0.869565,1,39.701493,0.0,6.37763,62.664474,1.0,0.0,0,0,0.0,1.0,0.0,22.4,9769.5,0,0,0.0,,0.0,10.0,95.090439,0.0,1,0,0,0,72.0,22.83149,0.0,0.0,0,0,8.0,0.0,0,0,0,1,0,0.0,1.0,0.0,0.0,0,2.0,0.0,0,0,0.0,0.0,0,0,1,0,1.0,0.0,4.0,1.0,0.0,0,63.9,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,73.24633,0.0,3.151862,17.687549,1,0,0,0.0,0.0,7.0,0.0,0.0,28.54808,16.0,0.0,1,0.0,0.0,1,0
83,8.0,0.0,99.538106,42.9,0.0,0.0,0,0.0,2.0,0,0,0.0,8.0,0,0,0,0.0,0.0,1,24.331551,,0.9291666666666667,2.0,0,0,573,1,2.0,0.0,0.0,0,0.0,1,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,4.735376,0,0,0.617284,0.0,0.0,0.0,0.0,0,0.0,0.0,1,0,0,0.0,0,0.0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0,1.583764,1.532788,1.0,0,120,0,1,0.0,0.0,3.921569,9317.75,40.0,0,0,0.0,0.0,111.5,2,1,0.0,0.0,0.0,8.415842,1,28.650138,0.0,14.734674,98.943662,0.0,0.0,0,1,0.0,0.0,0.0,11.417323,9317.75,0,0,0.0,,0.0,0.0,100.0,0.0,0,0,0,0,40.0,34.263313,0.0,0.0,0,0,8.0,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,2.0,1.0,0.0,0,46.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.0,0.0,0.245098,1.0,82.634731,0.0,0.0,17.564409,1,0,0,0.0,0.0,6.0,1.0,0.0,20.602161,8.0,0.0,1,0.0,0.0,1,0
7346,8.0,0.0,97.885835,61.1,0.0,0.0,0,0.0,3.0,0,0,1.0,12.0,0,0,0,0.0,0.0,0,,1.840163,0.8,2.0,0,0,422,1,2.0,0.0,0.0,0,0.0,1,0.0,0,0.0,0,0.0,0.0,1.0,0.0,0.0,4.326923,0,0,1.226994,0.0,0.0,0.0,0.0,1,0.0,1.0,0,0,1,0.0,1,0.0,0.0,0,0.0,0,0,0,1.0,0.0,1.0,0.0,0.0,0.0,1.22847,1.0,0.0,0,0.66998,6.10796,1.0,0,170,0,0,0.0,0.0,3.991131,0.0,12.0,0,0,1.0,0.0,136.0,0,1,0.0,0.0,0.0,2.022472,0,10.663507,0.0,17.629653,70.940171,0.0,0.0,1,0,0.0,0.0,0.0,9.246575,0.0,0,0,0.0,0.0,0.0,8.0,97.560976,1.0,0,0,0,0,12.0,23.71521,0.0,1.0,0,0,8.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,1.0,0.0,3.0,0.0,0.0,0,58.6,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,72.319202,0.0,1.485149,6.765647,1,0,0,0.0,0.0,4.0,2.0,0.0,12.272101,12.0,0.0,1,0.0,0.0,1,0
9051,116.0,0.0,87.121212,88.9,0.0,2.0,0,2.0,31.0,0,0,1.0,244.0,0,0,0,0.0,11.0,0,31.506849,,0.818,16.0,0,0,395,1,9.0,0.0,0.0,0,0.0,1,1.0,0,1.0,1,3.0,2.0,2.0,0.0,0.0,5.309735,24,0,40.0,1.0,0.0,0.0,16.0,0,0.0,0.0,1,0,0,1.0,0,0.0,1.0,1,2.0,0,0,0,2.0,1.0,0.0,1.0,1.0,1.0,,1.0,2.0,0,0.0,10.510095,1.0,1,50,0,1,0.0,0.0,3.225806,37993.44,28.0,0,0,2.0,0.0,40.9,2,0,0.0,0.0,0.0,0.0,1,39.823009,1.0,19.284562,73.75,1.0,1.0,0,0,0.0,2.0,1.0,10.344828,37993.44,0,0,7.0,,1.0,32.0,81.451613,1.0,0,0,0,0,28.0,,0.0,0.0,0,0,116.0,1.0,0,0,0,1,0,0.0,1.0,0.0,1.0,0,2.0,0.0,0,0,5.0,0.0,0,0,0,0,0.0,0.0,15.0,3.0,0.0,0,71.9,0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,63.529412,0.0,7.407407,,1,0,0,1.0,0.0,4.0,0.0,0.0,7.131902,244.0,0.0,1,0.0,1.0,1,0
10235,64.0,0.0,97.278912,25.0,0.0,1.0,0,0.0,7.0,0,0,0.0,44.0,0,0,0,0.0,1.0,0,6.930693,2.450302,0.9033333333333334,11.0,0,0,469,1,8.0,0.0,3.0,0,1.0,0,0.0,0,0.0,0,0.0,0.0,1.0,0.0,1.0,7.26817,2,1,0.483092,0.0,0.0,0.0,0.0,0,0.0,1.0,0,0,0,3.0,0,0.0,0.0,0,0.0,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.967935,1.0,1.0,0,1.496421,4.528596,1.0,0,120,0,1,0.0,1.0,0.471698,9311.25,36.0,1,0,0.0,0.0,108.4,1,0,0.0,0.0,0.0,0.714286,1,14.356436,1.0,24.110482,64.130435,1.0,1.0,0,1,0.0,2.0,0.0,15.734266,9311.25,0,0,3.0,,0.0,21.0,92.45283,0.0,0,0,0,0,36.0,33.506111,0.0,0.0,0,0,64.0,0.0,0,0,1,0,0,0.0,2.0,0.0,0.0,0,1.0,0.0,0,0,3.0,0.0,0,0,1,0,0.0,0.0,7.0,7.0,0.0,0,38.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,1.0,72.661871,0.0,1.342282,15.171749,1,1,0,0.0,0.0,8.0,,0.0,20.642621,44.0,0.0,0,0.0,1.0,1,0
637,150.0,50.0,99.469027,36.4,0.0,0.0,0,0.0,8.0,0,0,0.0,48.0,0,0,0,0.0,0.0,0,3.475936,2.156445,0.9022222222222223,14.0,0,0,537,1,11.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,5.521472,9,0,0.647948,0.0,0.0,0.0,2.0,0,0.0,0.0,1,0,1,0.0,0,0.0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.213974,1.0,0.0,0,1.711386,6.410208,2.0,4,180,0,1,0.0,0.0,0.738007,22912.5,99.0,1,0,0.0,0.0,162.4,1,0,0.0,0.0,0.0,0.93985,1,17.068273,0.0,9.364407,98.049415,0.0,0.0,0,1,0.0,0.0,0.0,13.919414,22912.5,0,0,3.0,,0.0,0.0,100.0,0.0,0,0,0,0,99.0,30.115413,0.0,0.0,0,0,100.0,0.0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,1,0,0.0,0.0,6.0,5.0,0.0,0,50.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,97.699387,0.0,0.691244,13.443987,1,0,0,0.0,0.0,7.0,1.0,0.0,18.915922,48.0,0.0,0,0.0,0.0,1,0
7466,32.0,0.0,99.387755,30.0,0.0,0.0,0,0.0,2.0,0,0,1.0,8.0,1,0,0,0.0,2.0,0,14.485981,2.70805,0.9732283464566929,8.0,0,0,292,1,7.0,0.0,0.0,0,0.0,1,0.0,0,0.0,1,2.0,0.0,1.0,1.0,0.0,6.142506,1,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,1,0,1,0.0,0,0.0,0.0,1,0.0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,1.181692,1.0,1.0,0,0.64685,3.612927,1.0,0,127,0,0,0.0,0.0,0.444444,2116.29,72.0,1,0,0.0,0.0,123.6,1,1,0.0,0.0,0.0,0.46729,1,28.505747,0.0,9.716145,50.190114,1.0,0.0,0,0,0.0,1.0,0.0,9.89011,2116.29,0,0,1.0,1.0,0.0,16.0,96.888889,1.0,0,0,0,0,72.0,33.676137,0.0,2.0,0,0,32.0,0.0,0,0,0,0,0,0.0,2.0,0.0,0.0,0,0.0,0.0,0,0,2.0,0.0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0,46.5,0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,11.0,0.0,0.0,1.0,69.88417,0.0,9.273183,6.425856,1,0,0,0.0,1.0,11.0,1.0,0.0,14.004348,8.0,0.0,0,0.0,0.0,1,0
10129,140.0,0.0,96.8523,23.5,0.0,0.0,0,0.0,9.0,0,0,0.0,48.0,1,0,0,0.0,1.0,0,9.589041,0.910994,0.95,19.0,0,0,505,1,14.0,1.0,0.0,0,0.0,0,1.0,0,0.0,0,1.0,0.0,1.0,0.0,1.0,1.492537,16,1,0.732601,0.0,0.0,0.0,5.0,0,0.0,0.0,1,0,1,1.0,0,0.0,2.0,0,0.0,0,1,0,2.0,0.0,0.0,0.0,1.0,0.0,0.608369,1.0,1.0,0,1.245033,4.142,1.0,0,120,0,0,0.0,0.0,3.084833,27950.0,48.0,1,0,1.0,0.0,114.0,2,1,0.0,0.0,0.0,1.081081,2,18.926554,3.0,27.769119,86.870897,1.0,0.0,0,0,0.0,2.0,0.0,6.642066,13975.0,0,0,5.0,,1.0,21.0,97.429306,0.0,0,0,0,0,48.0,23.604783,0.0,0.0,0,0,140.0,3.0,0,0,1,0,0,1.0,0.0,0.0,0.0,0,2.0,0.0,0,0,12.0,0.0,0,0,0,0,1.0,0.0,5.0,3.0,0.0,0,43.4,0,0.0,0.0,0.0,0,2.0,1.0,0.0,0.0,6.0,1.0,0.0,1.0,80.193237,0.0,7.012195,8.593119,1,1,0,0.0,0.0,9.0,1.0,0.0,9.257816,48.0,0.0,0,0.0,2.0,1,0
10264,4.0,0.0,81.104034,42.1,0.0,0.0,0,0.0,3.0,0,0,0.0,12.0,0,0,0,0.0,0.0,0,17.647059,1.985235,0.9379518072289156,1.0,0,0,440,1,1.0,0.0,0.0,0,0.0,1,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,5.764411,0,0,1.651842,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,1,1.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.037584,1.0,0.0,0,0.35539,2.94047,1.0,0,166,0,1,0.0,0.0,3.253796,0.0,4.0,1,0,0.0,0.0,155.7,0,0,0.0,0.0,0.0,0.453515,0,15.274463,0.0,27.673383,41.176471,0.0,0.0,0,1,0.0,1.0,0.0,17.307692,0.0,1,0,0.0,,0.0,5.0,52.277657,0.0,0,0,0,0,4.0,24.4119,0.0,0.0,0,1,4.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,1,0,0.0,0.0,3.0,0.0,0.0,0,43.9,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,37.774413,0.0,11.764706,9.648827,1,0,0,1.0,0.0,1.0,1.0,1.0,18.307812,12.0,0.0,0,0.0,1.0,1,0
647,68.0,0.0,100.0,33.3,0.0,0.0,0,0.0,18.0,0,0,0.0,88.0,1,0,0,0.0,0.0,0,3.873239,3.293357,0.9440677966101695,14.0,0,0,698,1,8.0,0.0,0.0,0,0.0,0,0.0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,3.304348,7,0,0.60423,0.0,0.0,0.0,2.0,0,0.0,0.0,0,0,1,0.0,1,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.234252,1.0,0.0,0,0.885458,3.807808,1.0,2,177,0,0,0.0,0.0,1.824212,0.0,20.0,1,0,0.0,0.0,167.1,0,0,0.0,0.0,0.0,0.337838,0,16.581197,0.0,22.884991,97.200622,0.0,0.0,1,0,0.0,0.0,0.0,11.568123,0.0,0,0,6.0,0.0,0.0,0.0,100.0,0.0,0,0,0,0,20.0,22.876711,0.0,0.0,1,0,68.0,0.0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,16.0,1.0,0.0,0,36.6,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,98.295455,0.0,2.03666,7.210687,1,0,0,0.0,0.0,5.0,0.0,0.0,23.635861,88.0,0.0,0,0.0,0.0,1,0
2058,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0,3.0,0,0,1.0,24.0,1,0,0,0.0,1.0,0,0.843882,2.09518,0.8355769230769231,0.0,0,0,380,1,0.0,0.0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.973978,0,0,2.061856,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,1,1.0,0,0.0,0.0,0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.37313,1.0,0.0,0,0.0,1.219958,0.0,0,104,0,0,0.0,0.0,0.952381,1315.6,12.0,0,0,0.0,0.0,86.9,1,0,0.0,0.0,0.0,0.0,1,42.105263,0.0,7.15082,100.0,0.0,0.0,1,0,0.0,0.0,2.0,10.429448,1315.6,1,0,0.0,,0.0,5.0,100.0,0.0,0,0,0,0,12.0,14.373963,0.0,0.0,0,0,0.0,0.0,1,0,0,0,0,0.0,1.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,3.0,0.0,0.0,0,36.6,0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,91.709845,0.0,0.0,7.115259,1,0,0,0.0,0.0,3.0,0.0,0.0,12.573139,24.0,0.0,0,0.0,1.0,1,0
